id_log,utilisateur_id,action,timestamp,entite_affectee,valeur_avant,valeur_apres
1,375,creation,2025-04-22 14:16:47,client,,Creation d'un nouvel(le) client
2,262,suppression,2025-04-22 14:16:27,compte,Compte existant(e),Compte supprime(e)
3,311,creation,2025-04-22 14:16:13,utilisateur,,Creation d'un nouvel(le) utilisateur
4,234,suppression,2025-04-22 14:17:11,client,Client existant(e),Client supprime(e)
5,347,consultation,2025-04-22 14:21:05,transaction,N/A,Consultation des donnees de transaction
6,59,suppression,2025-04-22 14:18:25,client,Client existant(e),Client supprime(e)
7,453,creation,2025-04-22 14:18:58,client,,Creation d'un nouvel(le) client
8,191,suppression,2025-04-22 14:15:57,role,Role existant(e),Role supprime(e)
9,253,suppression,2025-04-22 14:15:51,reclamation,Reclamation existant(e),Reclamation supprime(e)
10,49,creation,2025-04-22 14:16:46,compte,,Creation d'un nouvel(le) compte
11,248,suppression,2025-04-22 14:16:17,role,Role existant(e),Role supprime(e)
12,500,connexion,2025-04-22 14:16:08,produit,N/A,Connexion reussie
13,235,modification,2025-04-22 14:16:35,transaction,Ancienne valeur de transaction,Nouvelle valeur de transaction
14,179,modification,2025-04-22 14:16:31,client,Ancienne valeur de client,Nouvelle valeur de client
15,263,suppression,2025-04-22 14:16:18,compte,Compte existant(e),Compte supprime(e)
16,480,creation,2025-04-22 14:20:39,transaction,,Creation d'un nouvel(le) transaction
17,85,consultation,2025-04-22 14:20:00,utilisateur,N/A,Consultation des donnees de utilisateur
18,111,suppression,2025-04-22 14:17:29,compte,Compte existant(e),Compte supprime(e)
19,342,suppression,2025-04-22 14:16:39,produit,Produit existant(e),Produit supprime(e)
20,217,suppression,2025-04-22 14:18:12,utilisateur,Utilisateur existant(e),Utilisateur supprime(e)
21,56,consultation,2025-04-22 14:16:25,transaction,N/A,Consultation des donnees de transaction
22,79,modification,2025-04-22 14:18:49,compte,Ancienne valeur de compte,Nouvelle valeur de compte
23,434,consultation,2025-04-22 14:20:49,client,N/A,Consultation des donnees de client
24,422,creation,2025-04-22 14:20:17,transaction,,Creation d'un nouvel(le) transaction
25,206,suppression,2025-04-22 14:16:53,client,Client existant(e),Client supprime(e)
26,291,creation,2025-04-22 14:16:00,reclamation,,Creation d'un nouvel(le) reclamation
27,210,suppression,2025-04-22 14:19:19,role,Role existant(e),Role supprime(e)
28,344,creation,2025-04-22 14:20:06,utilisateur,,Creation d'un nouvel(le) utilisateur
29,43,suppression,2025-04-22 14:19:57,compte,Compte existant(e),Compte supprime(e)
30,290,modification,2025-04-22 14:15:59,produit,Ancienne valeur de produit,Nouvelle valeur de produit
31,118,suppression,2025-04-22 14:17:49,utilisateur,Utilisateur existant(e),Utilisateur supprime(e)
32,133,suppression,2025-04-22 14:19:57,client,Client existant(e),Client supprime(e)
33,196,consultation,2025-04-22 14:17:16,reclamation,N/A,Consultation des donnees de reclamation
34,432,consultation,2025-04-22 14:19:25,reclamation,N/A,Consultation des donnees de reclamation
35,375,modification,2025-04-22 14:18:53,role,Ancienne valeur de role,Nouvelle valeur de role
36,261,modification,2025-04-22 14:20:25,produit,Ancienne valeur de produit,Nouvelle valeur de produit
37,191,modification,2025-04-22 14:17:02,role,Ancienne valeur de role,Nouvelle valeur de role
38,435,connexion,2025-04-22 14:15:54,produit,N/A,Connexion reussie
39,414,consultation,2025-04-22 14:16:48,transaction,N/A,Consultation des donnees de transaction
40,115,modification,2025-04-22 14:17:20,reclamation,Ancienne valeur de reclamation,Nouvelle valeur de reclamation
41,386,modification,2025-04-22 14:21:19,transaction,Ancienne valeur de transaction,Nouvelle valeur de transaction
42,314,consultation,2025-04-22 14:20:09,client,N/A,Consultation des donnees de client
43,479,connexion,2025-04-22 14:19:17,compte,N/A,Connexion reussie
44,390,connexion,2025-04-22 14:20:08,role,N/A,Connexion reussie
45,360,consultation,2025-04-22 14:20:04,reclamation,N/A,Consultation des donnees de reclamation
46,216,suppression,2025-04-22 14:19:23,reclamation,Reclamation existant(e),Reclamation supprime(e)
47,454,suppression,2025-04-22 14:20:47,utilisateur,Utilisateur existant(e),Utilisateur supprime(e)
48,399,creation,2025-04-22 14:21:05,utilisateur,,Creation d'un nouvel(le) utilisateur
