id_agence,nom_agence,ville,quartier,adresse,telephone,email,code_agence,date_ouverture
1,agence centrale,agadir,bourgogne,130 rue amrani bourgogne agadir maroc,526535309,contact1banquema,ag0001,2021-07-21
2,agence oasis,rabat,oasis,201 rue boukhriss oasis rabat maroc,527789791,contact2banquema,ag0002,2014-03-31
3,agence agdal,casablanca,maarif,280 rue jebari maarif casablanca maroc,525558087,contact3banquema,ag0003,2006-10-21
4,agence hay riad,temara,maarif,52 rue bakkali maarif temara maroc,528217504,contact4banquema,ag0004,2013-07-11
5,agence mabella,oujda,belvdre,74 rue ouzzani belvdre oujda maroc,522851395,contact5banquema,ag0005,2021-08-08
6,agence hay riad,temara,maarif,67 rue jebari maarif temara maroc,521996745,contact6banquema,ag0006,2022-05-08
7,agence centrale,tanger,maarif,163 rue zerouali maarif tanger maroc,526844188,contact7banquema,ag0007,2014-05-23
8,agence gueliz,ttouan,sidi moumen,213 rue fassi sidi moumen ttouan maroc,522049656,contact8banquema,ag0008,2009-07-27
9,agence sidi maarouf,tanger,sidi marouf,84 rue lahlou sidi marouf tanger maroc,526249141,contact9banquema,ag0009,2012-09-18
10,agence maarif,fes,mabella,126 rue lahlou mabella fes maroc,522234039,contact10banquema,ag0010,2011-11-26
11,agence oulfa,temara,bourgogne,25 rue bakkali bourgogne temara maroc,529198077,contact11banquema,ag0011,2024-09-16
12,agence agdal,marrakech,yacoub el mansour,228 rue baroudi yacoub el mansour marrakech maroc,523942841,contact12banquema,ag0012,2015-02-20
13,agence centrale,tanger,bourgogne,139 rue tahiri bourgogne tanger maroc,525134876,contact13banquema,ag0013,2015-09-29
14,agence gueliz,kenitra,oasis,90 rue bakkali oasis kenitra maroc,529996106,contact14banquema,ag0014,2025-01-28
15,agence hay riad,tanger,maarif,55 rue amrani maarif tanger maroc,525529972,contact15banquema,ag0015,2018-01-23
16,agence oulfa,fes,sidi marouf,167 rue bakkali sidi marouf fes maroc,527304832,contact16banquema,ag0016,2012-12-17
17,agence oulfa,fes,yacoub el mansour,229 rue lahlou yacoub el mansour fes maroc,529263762,contact17banquema,ag0017,2006-01-01
18,agence gueliz,temara,gueliz,206 rue bennani gueliz temara maroc,521383382,contact18banquema,ag0018,2005-05-26
19,agence centrale,kenitra,belvdre,273 rue ouzzani belvdre kenitra maroc,523992303,contact19banquema,ag0019,2018-08-31
20,agence oulfa,casablanca,belvdre,184 rue naciri belvdre casablanca maroc,528514417,contact20banquema,ag0020,2022-01-02
21,agence oulfa,casablanca,mabella,242 rue fassi mabella casablanca maroc,527243838,contact21banquema,ag0021,2020-11-26
22,agence maarif,rabat,tabriquet,159 rue zerouali tabriquet rabat maroc,522987869,contact22banquema,ag0022,2018-02-17
23,agence sidi maarouf,ttouan,bourgogne,113 rue moutawakil bourgogne ttouan maroc,524949557,contact23banquema,ag0023,2010-08-27
24,agence sidi maarouf,tanger,sidi moumen,93 rue bennani sidi moumen tanger maroc,525916056,contact24banquema,ag0024,2016-09-03
